STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,TRANSFORMATION,Transformation,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2010,,1.925581179,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2011,,3.088753939,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2012,,0.562341467,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2013,,0.666570753,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2014,,1.523653865,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2015,,1.201563202,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2016,,1.216421947,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2017,,2.12408103,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,FRA,France,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2018,,2.280245662,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2000,,3.449455738,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2001,,1.795716494,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2002,,0.375915781,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2003,,-0.362567842,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2004,,1.134091079,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2005,,1.160087049,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2006,,3.741845296,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2007,,3.197526813,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2008,,1.313280553,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2009,,-4.808130383,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2010,,3.752372921,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2011,,4.456876695,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2012,,0.369506106,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2013,,0.517129339,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2014,,2.620220363,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2015,,1.544365533,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2016,,2.219384734,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2017,,2.737248763,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,DEU,Germany,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2018,,1.693665326,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2000,,4.329547465,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2001,,2.019985288,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2002,,0.681453407,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2003,,0.175329894,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2004,,1.679750681,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2005,,1.002306163,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2006,,2.595378101,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2007,,1.795965552,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2008,,-0.53173703,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2009,,-4.080026984,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_EAMFP@DF_EAMFP(1.0),Environmentally adjusted multifactor productivity,I,ITA,Italy,A,Annual,PA_GDP_G,Pollution-adjusted GDP growth,PC,Percentage change,2010,,2.086938679,,,,0,Units,GY,"Growth rate, over 1 year",2,Two
